code,label_eng,label_kor,degree
D000314,Rifampicin,리팜피신,45
D001650,Nirmatrelvir,니르마트렐비르,40
D000139,SelegilineHydrochloride,셀레길린염산염,40
D000476,Carbamazepine,카르바마제핀,29
D000274,Ketorolac,케토롤락,29
D000429,Moclobemide,모클로베미드,29
D000762,Itraconazole,이트라코나졸,28
D000595,Phenytoin,페니토인,28
D000447,St.JohnsWort,세인트존스워트,27
D000213,Pimozide,피모짓,26
D000201,Dronedarone,드로네다론,25
D000113,Haloperidol,할로페리돌,24
D000747,Ergotamine,에르고타민,23
D000150,Atazanavir,아타자나비르,22
D000202,Dihydroergotamine,디히드로에르고타민,22
D000259,Amiodarone,아미오다론,21
D000673,Cobicistat,코비시스타트,20
D000712,Ritonavir,리토나비르,20
D000443,Voriconazole,보리코나졸,20
D000256,Erythromycin,에리트로마이신,16
D000027,Simvastatin,심바스타틴,16
D000373,Clarithromycin,클래리트로마이신,15
D000334,Cyclosporine,사이클로스포린,15
D000560,Epinephrine,에피네프린,15
D000769,Ketoconazole,케토코나졸,14
D000419,Lovastatin,로바스타틴,14
D000716,Methotrexate,메토트렉세이트,13
D000282,Phenobarbital,페노바르비탈,13
D001697,Lorlatinib,롤라티닙,12
D000246,Sildenafil,실데나필,12
D000181,Tadalafil,타다라필,12
D000719,Mizolastine,미졸라스틴,11
D000003,Nelfinavir,넬피나비어,11
D001562,Ranolazine,라놀라진,11
D001418,Ribociclib,리보시클립,11
D000650,Sumatriptan,수마트립탄,11
D000019,Acitretin,아시트레틴,10
D001743,Finerenone,피네레논,10
D001763,Lurasidone,루라시돈,10
D000718,Metformin,메트포르민,10
D000569,Udenafil,유데나필,10
D000434,Vardenafil,바데나필,10
D001609,Venetoclax,베네토클락스,10
D001701,Acalabrutinib,아칼라브루티닙,9
D001606,Brigatinib,브리가티닙,9
D001563,Doravirine,도라비린,9
D001171,Elbasvir,엘바스비르,9
D000763,Indinavir,인디나빌,9
D000228,Methylergometrine,메틸에르고메트린,9
D000007,Midazolam,미다졸람,9
D000405,Posaconazole,포사코나졸,9
D001604,Safinamide,사피나미드,9
D000279,Tacrolimus,타크로리무스,9
D001076,Ceritinib,세리티닙,8
D001362,Glecaprevir,글레카프레비르,8
D001590,Ibrutinib,이브루티닙,8
D000161,Irinotecan,이리노테칸,8
D000758,Isotretinoin,이소트레티노인,8
D000128,Mirodenafil,미로데나필,8
D000701,Phendimetrazinetartrate,펜디메트라진타르타르산염,8
D001081,Rifabutin,리파부틴,8
D000820,Alitretinoin,알리트레티노인,7
D000395,Darunavir,다루나비르,7
D000619,FusidicAcid,푸시딘산,7
D001612,Isavuconazonium,이사부코나조늄,7
D000626,Lopinavir,로피나비르,7
D000714,Mazindol,마진돌,7
D000082,Norepinephrine,노르에피네프린,7
D000795,Phentermine,펜터민,7
D000225,Rilpivirine,릴피비린,7
D000488,Tretinoin,트레티노인,7
D000171,Zolmitriptan,졸미트립탄,7
D000745,Almotriptan,알모트립탄,6
D000343,Amantadine,아만타딘,6
D000455,Atorvastatin,아토르바스타틴,6
D000018,BupropionHydrochloride,부프로피온염산염,6
D001748,Cabotegravir,카보테그라비르,6
D000505,Diethylpropion,디에틸프로피온,6
D000592,Triazolam,트리아졸람,6
D001723,isosorbidedinitrate,이소소르비드이질산염,6
D001722,isosorbidemononitrate,이소소르비드일질산염,6
D001585,Cabozantinib,카보잔티닙,5
D000558,Efavirenz,에파비렌즈,5
D000350,Ezetimibe,에제티미브,5
D000517,Fluconazole,플루코나졸,5
D000114,Hydroxyzine,히드록시진,5
D000362,Imipramine,이미프라민,5
D001063,Lorcaserin,로카세린,5
D001594,Midostaurin,미도스타우린,5
D000530,Molsidomine,몰시도민,5
D000287,Naratriptan,나라트립탄,5
D000498,Nicorandil,니코란딜,5
D000466,Nortriptyline,노르트립틸린,5
D000698,Rasagiline,라사길린,5
D000022,Sotalol,소타롤,5
D001149,palbociclib,팔보시클립,5
D000030,Amisulpride,아미설프리드,4
D001419,Bictegravir,빅테그라비르,4
D000015,Bosentan,보센탄,4
D000541,Bromocriptine,브로모크립틴,4
D001552,Burosumab,부로수맙,4
D000584,Chlorpromazine,클로르프로마진,4
D000332,Citalopram,시탈로프람,4
D000084,Dapoxetine,다폭세틴,4
D000298,Diflunisal,디플루니살,4
D000503,Doxycycline,독시사이클린,4
D001079,Enzalutamide,엔잘루타마이드,4
D000212,FlecainideAcetate,플레카이니드아세테이트,4
D000516,Fluoxetine,플루옥세틴,4
D000800,Fluvoxamine,플루복사민,4
D001711,Ixazomib,익사조밉,4
D000699,Lansoprazole,란소프라졸,4
D000215,Nitroglycerin,니트로글리세린,4
D000787,Nitroprusside,니트로푸루시드,4
D000700,Pethidine,페티딘,4
D001598,Ponatinib,포나티닙,4
D000628,Roxithromycin,록시트로마이신,4
D000141,Sibutramine,시부트라민,4
D001082,Sirolimus,시롤리무스,4
D000064,Tetracycline,테트라사이클린,4
D000182,Tigecycline,타이제사이클린,4
D001703,Zanubrutinib,자누브루티닙,4
D000173,Ziprasidone,지프라시돈,4
D000028,Adefovirdipivoxil,아데포비어디피복실,3
D000742,Azithromycin,아지트로마이신,3
D000020,Blonanserin,블로난세린,3
D000238,Bromperidol,브롬페리돌,3
D000581,Calcitriol,칼시트리올,3
D000142,Ciprofloxacin,시프로플록사신,3
D000277,Clomipramine,클로미프라민,3
D000696,Dexketoprofen,덱스케토프로펜,3
D000200,Dextromethorphan,덱스트로메토르판,3
D001820,Digoxin,디곡신,3
D000319,Dolasetron,돌라세트론,3
D000665,Emtricitabine,엠트리시타빈,3
D000155,Ephedrine,에페드린,3
D000035,Escitalopram,에스시탈로프람,3
D000153,Esomeprazole,에스오메프라졸,3
D000707,Fluticasone,플루티카손,3
D000407,Frovatriptan,프로바트립탄,3
D000076,Gemfibrozil,겜피브로질,3
D001589,Gilteritinib,길테리티닙,3
D000080,Gimeracil,기메라실,3
D000672,Ketoprofen,케토프로펜,3
D001364,Letermovir,레테르모비르,3
D000059,LithiumCarbonate,탄산리튬,3
D000229,Methylphenidate,메틸페니데이트,3
D000127,Minocycline,미노사이클린,3
D000006,Morphine,모르핀,3
D001699,Neratinib,네라티닙,3
D000196,Nisoldipine,니솔디핀,3
D000469,Omeprazole,오메프라졸,3
D000263,Oxcarbazepine,옥스카르바제핀,3
D000754,Oxytetracycline,옥시테트라사이클린,3
D000353,Paroxetine,파록세틴,3
D000513,Pentamidin,펜타미딘,3
D000781,Perphenazine,페르페나진,3
D000448,Pseudoephedrine,슈도에페드린,3
D000219,Rosuvastatin,로수바스타틴,3
D000336,Sertraline,설트랄린,3
D000777,Thrombin,트롬빈,3
D001003,Tofacitinib,토파시티닙,3
D000487,Tolvaptan,톨밥탄,3
D000773,Tramadol,트라마돌,3
D000031,Acemetacin,아세메타신,2
D001821,Agalsidaseα,아갈시다제알파,2
D000151,Alfacalcidol,알파칼시돌,2
D001030,Alfuzosin,알푸조신,2
D000660,Alprazolam,알프라졸람,2
D000159,Amiloride,아미로라이드,2
D000248,Amoxapine,아목사핀,2
D000144,Anastrozole,아나스트로졸,2
D001780,Apalutamide,아팔루타마이드,2
D000657,Apraclonidine,아프라클로니딘,2
D000452,Aspirin,아스피린,2
D000737,Avanafil,아바나필,2
D000328,Bedaquiline,베다퀼린,2
D001693,Bosutinib,보수티닙,2
D000641,Brimonidine,브리모니딘,2
D000540,Buspirone,부스피론,2
D000175,Calcifediol,칼시페디올,2
D000477,Clenbuterol,클렌부테롤,2
D000582,Colchicine,콜키신,2
D000026,Cyproheptadine,시프로헵타딘,2
D000396,Dabigatranetexilate,다비가트란에텍실레이트,2
D001561,Defibrotide,데피브로타이드,2
D000506,Diclofenac,디클로페낙,2
D000297,Domperidone,돔페리돈,2
D000501,Doxepin,독세핀,2
D000749,Ethinylestradiol,에티닐에스트라디올,2
D001700,Fedratinib,페드라티닙,2
D000070,Fenoterol,페노테롤,2
D001648,Fexuprazan,펙수프라잔,2
D001755,Filgotinib,필고티닙,2
D000798,Furosemide,푸로세미드,2
D000075,Gentamicin,겐타마이신,2
D000363,Ibuprofen,이부프로펜,2
D000575,Indometacin,인도메타신,2
D000759,Isoproterenol,이소프로테레놀,2
D000571,Ivabradine,이바브라딘,2
D000302,Levodopa,레보도파,2
D000792,Levomepromazine,레보메프로마진,2
D001035,Linezolid,리네졸리드,2
D000427,Meloxicam,멜록시캄,2
D000125,Methoxyphenamine,메톡시페나민,2
D000322,Midecamycin,미데카마이신,2
D000323,Mirtazapine,미르타자핀,2
D000953,Mitotane,미토테인,2
D000430,Moxifloxacin,목시플록사신,2
D000309,Piroxicam,피록시캄,2
D000518,Pitavastatin,피타바스타틴,2
D000565,PotassiumChloride,염화칼륨,2
D000514,Procaterol,프로카테롤,2
D000515,Propafenone,프로파페논,2
D000204,Rabeprazole,라베프라졸,2
D000527,Rivaroxaban,리바록사반,2
D000137,Salbutamol,살부타몰,2
D001071,Sofosbuvir,소포스부비르,2
D000731,Spironolactone,스피로노락톤,2
D000679,Tamoxifen,타목시펜,2
D001367,Tegoprazan,테고프라잔,2
D000060,Tenoxicam,테녹시캄,2
D000385,Ticagrelor,티카그렐러,2
D000187,Tizanidine,티자니딘,2
D000185,Tulobuterol,툴로부테롤,2
D001724,Valbenazine,발베나진,2
D000638,Venlafaxine,벤라팍신,2
D000567,Warfarin,와파린,2
D001560,Zinchistidine,히스티딘아연,2
D000146,Abiraterone,아비라테론,1
D000739,Aceclofenac,아세클로페낙,1
D000249,Acetazolamide,아세타졸아미드,1
D000658,Alendronate,알렌드론산,1
D000875,Alfentanil,알펜타닐,1
D001261,Alteplase,알테플라제,1
D000255,Altretamine,알트레타민,1
D000029,AminocaproicAcid,아미노카프론산,1
D000809,Amitriptyline,아미트리프틸린,1
D001751,Apixaban,아픽사반,1
D000251,Articaine,아티카인,1
D001075,Asunaprevir,아수나프레비르,1
D000552,Atomoxetine,아토목세틴,1
D000656,Atropine,아트로핀,1
D000250,Azathioprine,아자티오프린,1
D000017,Buprenorpine,부프레노르핀,1
D000494,CalciumGluconate,글루콘산칼슘,1
D001819,Calciumchloride,염화칼슘,1
D000768,Capecitabine,카페시타빈,1
D000138,Celecoxib,세레콕시브,1
D000770,Chloramphenicol,클로람페니콜,1
D000276,Chlorprothixene,클로르프로틱센,1
D000377,Chlorthalidone,클로르탈리돈,1
D000678,Clindamycin,클린다마이신,1
D000055,Clonidine,클로니딘,1
D000675,Clonixin,클로닉신,1
D000988,Clopidogrel,클로피도그렐,1
D000242,Cyclobenzaprine,시클로벤자프린,1
D001542,D-Mannitol,D-만니톨,1
D001177,Dasabuvir,다사부비르,1
D001323,Delamanid,델라마니드,1
D001725,Deutetrabenazine,듀테트라베나진,1
D000316,Dexbrompheniramine,덱스브롬페니라민,1
D000086,Dexibuprofen,덱시부프로펜,1
D000695,Dexlansoprazole,덱스란소프라졸,1
D000091,Dipyridamole,디피리다몰,1
D001558,Divalproex,디발프로엑스,1
D000504,Doxifluridine,독시플루리딘,1
D001469,EdetateCalciumDisodium(CalciumEDTA),에데트산칼슘나트륨,1
D001060,Edoxaban,에독사반,1
D001580,Eliglustat,엘리글루스타트,1
D001588,Entrectinib,엔트렉티닙,1
D001603,Eslicarbazepineacetate,에슬리카르바제핀아세테이트,1
D000664,Estrogens,에스트로겐,1
D000463,Etodolac,에토돌락,1
D000036,Etravirine,에트라비린,1
D000461,Everolimus,에베로리무스,1
D000404,Felodipine,펠로디핀,1
D000071,Fenoprofen,페노프로펜,1
D000097,Fentanyl,펜타닐,1
D000623,Fluorouracil,플루오로우라실,1
D000705,Flurbiprofen,플루르비프로펜,1
D000306,Fluvastatin,플루바스타틴,1
D001559,Foscarnet,포스카네트,1
D001747,Fosnetupitant,포스네투피탄트,1
D000209,Fosphenytoin,포스페니토인,1
D000170,Gemifloxacin,제미플록사신,1
D000690,Glibenclamide,글리벤클라미드,1
D000600,Gliclazide,글리클라지드,1
D000520,Hemocoagulase,헤모코아귤라제,1
D000414,Hydrochlorothiazide,히드로클로로티아지드,1
D000417,Hydroxychloroquine,히드록시클로로퀸,1
D000472,Iguratimod,이그라티모드,1
D000168,Ilaprazole,일라프라졸,1
D000760,Iobitridol,이오비트리돌,1
D000032,IodisedOil,아이오다이즈드오일,1
D000831,Iodixanol,이오딕사놀,1
D000669,Iohexol,이오헥솔,1
D000364,Iomeprol,이오메프롤,1
D000267,Iopamidol,이오파미돌,1
D000761,Iopromide,이오프로마이드,1
D000832,Iotrolan,이오트로란,1
D000165,Ioversol,이오베르솔,1
D000268,IoxaglicAcid,이옥사글린산,1
D000265,Isoniazid,이소니아지드,1
D000164,Isradipine,이스라디핀,1
D000615,Lamivudine,라미부딘,1
D001072,Ledipasvir,레디파스비르,1
D000616,Lercanidipine,레르카니디핀,1
D000793,Levofloxacin,레보플록사신,1
D000713,Lincomycin,린코마이신,1
D000115,Lornoxicam,로녹시캄,1
D000525,Loxoprofen,록소프로펜,1
D000230,Mefenamicacid,메페남산,1
D000467,Mefloquine,메플로퀸,1
D000320,Melphalan,멜팔란,1
D000120,Menatetrenone,메나테트레논,1
D000158,Methacycline,메타사이클린,1
D000425,Metoclopramide,메토클로프라미드,1
D000004,Metolazone,메톨라존,1
D000426,Metronidazole,메트로니다졸,1
D000324,Miconazole,미코나졸,1
D000632,Modafinil,모다피닐,1
D001817,Monobasicsodiumphosphate,인산수소나트륨무수물,1
D000081,Nabumetone,나부메톤,1
D001080,Nafcillin,나프실린,1
D000783,NalidixicAcid,날리딕스산,1
D001451,Natalizumab,나탈리주맙,1
D000604,Netilmicin,네틸마이신,1
D001365,Netupitant,네투피탄트,1
D000197,Nifedipine,니페디핀,1
D000083,Nimesulide,니메술리드,1
D000755,Octreotide,옥트레오티드,1
D001174,Ombitasvir,옴비타스비르,1
D001407,Omidenepagisopropyl,오미데네팍이소프로필,1
D000470,Ondansetron,온단세트론,1
D000045,OxapiumIodide,요오드화옥사피움,1
D000262,Oxaprozin,옥사프로진,1
D000261,Oxatomide,옥사토마이드,1
D001091,Oxymetazoline,옥시메타졸린,1
D001783,Ozanimod,오자니모드,1
D000386,Pantoprazole,판토프라졸,1
D000188,Paricalcitol,파리칼시톨,1
D000397,Penicillamine,디페니실라민,1
D001456,Pentamidine,펜타미딘,1
D000702,Pentoxifylline,펜톡시필린,1
D001363,Pibrentasvir,피브렌타스비르,1
D000620,Pramipexole,프라미펙솔,1
D000703,Pranoprofen,프라노프로펜,1
D000305,Pravastatin,프라바스타틴,1
D001818,Praziquantel,프라지콴텔,1
D000103,Primidone,프리미돈,1
D000211,Proglumetacin,프로글루메타신,1
D000413,Pyridoxine,피리독신,1
D000178,Quazepam,쿠아제팜,1
D000811,Quinupramine,퀴누프라민,1
D001314,Radium223dichloride,라듐-223염화물,1
D000418,Repaglinide,레파글리니드,1
D000301,Revaprazan,레바프라잔,1
D001073,Riociguat,리오시구앗,1
D000751,S-Pantoprazole,에스판토프라졸,1
D001781,Salmeterol,살메테롤,1
D000544,Salsalate,살살레이트,1
D000342,Silodosin,실로도신,1
D000568,SodiumIodide(131I),요오드화나트륨(131I),1
D000338,Spiramycin,스피라마이신,1
D000546,Sulfamethoxazole,설파메톡사졸,1
D000644,Sulindac,설린닥,1
D000481,Tafluprost,타플루프로스트,1
D001032,Tamsulosin,탐스로신,1
D001016,Tapentadol,타펜타돌,1
D001347,Tenecteplase,테넥테플라제,1
D000521,TerbutalineSulfate,테르부탈린황산염,1
D000778,Thiothixene,티오틱센,1
D000065,Topiramate,토피라메이트,1
D000842,Toremifene,토레미펜,1
D000590,TranexamicAcid,트라넥삼산,1
D000753,Trifluoperazine,트리플루오페라진,1
D000806,Trometamol,트로메타몰,1
D001784,Tucatinib,투카티닙,1
D000635,Vandetanib,반데타닙,1
D001611,Vedolizumab,베돌리주맙,1
D000329,Verapamil,베라파밀,1
D001736,Vericiguat,베리시구앗,1
D000766,Zaltoprofen,잘토프로펜,1
D001176,nitrousoxide,아산화질소,1
D001178,selexipag,셀렉시팍,1
